No,Name,Type,Maps_Link,lat,long,longlat
55,Desa Wisata Karangrejo,buatan,https://maps.app.goo.gl/oGTv91SkMa6go2h29,-7.6112568,110.1816863,"110.181686,-7.611257"
56,Desa Wisata Borobudur,buatan,https://maps.app.goo.gl/Lfxa5JNFUrGbGQJz8,-7.6044603,110.2085382,"110.208538,-7.604460"
57,Desa Wisata Karanganyar,buatan,https://maps.app.goo.gl/sLQjyJ4D4mSfwxZD8 ,-7.5968129,111.0318107,"111.031811,-7.596813"
58,Desa Wisata Wringinputih,buatan,https://maps.app.goo.gl/PNLmAnydHLgbPADP8,-7.579677,109.6341517,"109.634152,-7.579677"
59,Desa Wisata Giripurrno,buatan,https://maps.app.goo.gl/k7Q6LcCzwcxZfiMY7,-7.579677,109.6341517,"109.634152,-7.579677"
60,Desa Wisata Giritengah,buatan,https://maps.app.goo.gl/jtgYYDS5MWPgtFV66,-7.6288751,110.1473756,"110.147376,-7.628875"
61,Desa Wisata Sambeng,buatan,https://maps.app.goo.gl/qhHSwd6ca7gbPMnh9,-7.6288751,110.1473756,"110.147376,-7.628875"
62,Desa Wisata Ngadiharjo,buatan,https://maps.app.goo.gl/f1Rxz1bkobD5xpnz5,-7.6160492,110.1707393,"110.170739,-7.616049"
63,Desa Wisata Majaksingi,buatan,https://maps.app.goo.gl/TfAoFz42af6ZwmW58,-7.6160492,110.1707393,"110.170739,-7.616049"
64,Desa Wisata Bigaran,buatan,https://maps.app.goo.gl/Djs4oiqrAKSkmM3G7,-7.6477689,110.24229,"110.242290,-7.647769"
65,Desa Wisata Kebonsari,buatan,,,,
66,Desa Wisata Ngargogondo,buatan,https://maps.app.goo.gl/KbukTkp8z1b5g2dy9,-7.6477689,110.24229,"110.242290,-7.647769"
67,Desa Wisata Tanjungsari,buatan,,,,
68,Desa Wisata Tuksongo,buatan,https://maps.app.goo.gl/wbSFDnawPHyGuNw57,-7.6196015,110.2052595,"110.205259,-7.619601"
69,Desa Wisata Ngadiharjo,buatan,https://maps.app.goo.gl/bxZThcorXDhnxtieA,-7.6160569,110.1663632,"110.166363,-7.616057"
70,Desa Wisata Kenalan,buatan,https://maps.app.goo.gl/QZYhMTFbsy25CggQA,-7.6449935,110.2117089,"110.211709,-7.644993"
71,Desa Wisata Tegalarum,buatan,https://maps.app.goo.gl/Z69YWZtKWUDMm9Hc7,-7.6449935,110.2117089,"110.211709,-7.644993"
72,Desa Wisata Kembanglimus,buatan,https://maps.app.goo.gl/HdpKzSCSMwaEGTue8,-7.5969876,110.1123026,"110.112303,-7.596988"
73,Taman Wisata dan Rest Area Tegalsari,buatan,https://maps.app.goo.gl/Hfx3UAN2yaQjVtpD9,-7.546141,109.8981943,"109.898194,-7.546141"
74,Penyangga Obyek Wisata Gembira Loka,alam,https://maps.app.goo.gl/Yp5xfSTtyNNGmA6z8,-7.8059741,110.3963155,"110.396316,-7.805974"
75,Gethekan Susur Sungai dan Gajah Wong Riverwalk,alam,https://maps.app.goo.gl/a1sdTz5Bf4qMh3WG9,-7.8311337,110.3766751,"110.376675,-7.831134"
76,Puncak Suroloyo,alam,https://maps.app.goo.gl/fnoQcJqrYaBKDcQq6,-7.6463075,110.1811376,"110.181138,-7.646307"
77,Perkebunan The Nglinggo,alam,https://maps.app.goo.gl/hmnA1cTD1X7kc7dN7,-7.6459518,110.1261648,"110.126165,-7.645952"
78,Goa Kiskendo,alam,https://maps.app.goo.gl/rr2FUrkD1KQWxkZQ9,-7.6459518,110.1261648,"110.126165,-7.645952"
79,Kalibiru,alam,https://maps.app.goo.gl/NXDXhU1PsVymaS23A,-7.8073708,110.1263298,"110.126330,-7.807371"
80,Tradisi Apeman dan Ruwahan,budaya,,,,
81,Kawasan Malioboro-Margamulya,budaya,https://maps.app.goo.gl/meduDbg1eTjUGCtSA,-7.7937525,110.3657077,"110.365708,-7.793753"
82,Kraton Yogyakarta,budaya,https://maps.app.goo.gl/H68WDkvWJsi1B6qJ9,-7.7937525,110.3657077,"110.365708,-7.793753"
83,Pagelaran Kraton,budaya,https://maps.app.goo.gl/8nm7zzpdRMsvMybSA,-7.5760128,110.8284412,"110.828441,-7.576013"
84,Penyangga Obyek Wisata Tamansari dan Kraton Yogyakarta,budaya,https://maps.app.goo.gl/fHYHtBxvXjTAJLnX6,-7.8099788,110.3589907,"110.358991,-7.809979"
85,Ndalem Mangkubumen,budaya,https://maps.app.goo.gl/6KgjT8TdYW69keuS6,-7.8059978,110.3581832,"110.358183,-7.805998"
86,Ndalem Condroprajan,budaya,,,,
87,Ndalem Wiragunan,budaya,,,,
88,Ndalem Purwodirjan,budaya,,,,
89,Ndalem Kaneman,budaya,https://maps.app.goo.gl/qJhGtviHxXAjjH7T6,-7.8059978,110.3581832,"110.358183,-7.805998"
90,Ndalem Pakuningratan,budaya,https://maps.app.goo.gl/6xG5SEPQ523oVFMVA,-7.8082267,110.3570732,"110.357073,-7.808227"
91,Ndalem Joyokusuman,budaya,https://maps.app.goo.gl/92aSGhoHApYso1Xp7,-7.8082623,110.3610864,"110.361086,-7.808262"
92,Seni Budaya Lokal Pathuk,budaya,,,,
93,Istana Gedung Agung,budaya,https://maps.app.goo.gl/YduaaiNdvQufNbqf9,-7.8001885,110.363877,"110.363877,-7.800188"
94,Masjid Gede Kauman,budaya,https://maps.app.goo.gl/ky8ujZpgEBb1QUYa7,-7.8001885,110.363877,"110.363877,-7.800188"
95,Seni Budaya Lokal Ratmakan,budaya,https://maps.app.goo.gl/e6QJpGVr1pURY3gi6,-7.8039168,110.3623741,"110.362374,-7.803917"
96,Makam Raja Mataram,budaya,https://maps.app.goo.gl/PzKuUA1TKSisCHWE9,-7.8365017,110.3354763,"110.335476,-7.836502"
97,Kraton Kotagede,budaya,https://maps.app.goo.gl/3jtHykg6P24n7EtA8,-7.8297283,110.3977559,"110.397756,-7.829728"
98,Ndalem Kedaton Purbayan,budaya,,,,
99,Cokroyudan Kotagede,budaya,,,,
100,Mbumen Kotagede,budaya,,,,
101,Kemasan Mboharen Kotagede,budaya,https://maps.app.goo.gl/e4tWSSw2jdy9udf76,-7.8293025,110.3992949,"110.399295,-7.829302"
102,Upacara Adat Wiwitan,budaya,,,,
103,Berbagai Seni Pertunjukan dan Hasil Budaya Tradisional Kotagede,budaya,,,,
104,Bangunan Cagar Budaya Ndalem Djoyodipuran,budaya,,,,
105,Kesenian Rakyat Reog Dor dan Barongan,budaya,,,,
106,Seni Macapat dan Karawitan,budaya,,,,
107,Museum Batik Sulaman,budaya,,,,
108,Penyangga Kawasan Obyek Wisata Kraton Kadipaten Pakualaman,budaya,https://maps.app.goo.gl/igEi1BuG67bz1HJw9,-7.8060129,110.3663795,"110.366379,-7.806013"
109,Berbagai Seni Pertunjukan dan Hasil Budaya Tradisional Pakualaman,budaya,,,,
110,Museum Puro P akualaman,budaya,,,,
111,Atraksi Karawistan Ki Wasitodiningrat,budaya,,,,
112,Seni Budaya Lokal Jogoyudan,budaya,,,,
113,Seni Budaya Lokal Suryatmajan,budaya,,,,
114,Seni Budaya Lokal Panembahan,budaya,,,,
115,Tata Kelola Pertanian Kota,buatan,,,,
116,Pembuatan Kuliner Keripik,buatan,,,,
