point_index,latitude,longitude,cluster,is_centre,centre_index
203,415810.5169,9137062.5212,2,False,169
204,429871.4542,9137517.2574,8,False,254
205,430067.2272,9137583.0574,8,False,254
206,435624.3508,9138899.3391,8,False,254
207,433240.8388,9134277.4663,8,False,254
208,433162.7351,9134383.9297,8,False,254
209,433254.0713,9134265.6152,8,False,254
210,415067.4673,9159315.4346,7,False,194
211,429341.6211,9136655.4445,8,False,254
212,465102.7691,9095583.7591,6,False,108
213,425441.0524,9137361.1737,8,False,254
214,445367.3891,9144352.3016,5,False,165
215,433258.0387,9142736.9407,8,False,254
216,434449.5902,9130189.6967,1,False,25
217,434442.5063,9130181.6083,1,False,25
218,433630.7892,9137174.7475,8,False,254
219,429662.5644,9155328.6524,3,False,43
220,436396.9522,9160140.0501,3,False,43
221,433613.1707,9134496.1667,8,False,254
222,441411.3991,9145773.0202,5,False,165
223,412177.3039,9158962.5593,7,False,194
224,411468.4699,9159481.3251,7,False,194
225,413913.0515,9159167.2862,7,False,194
226,412124.8641,9159320.1229,7,False,194
227,409656.3467,9159208.8868,7,False,194
228,463644.2409,9133355.0287,5,False,165
229,450065.2935,9127450.8979,1,False,25
230,444081.3417,9143978.9446,5,False,165
231,445403.0978,9139817.0124,5,False,165
232,444282.7121,9143152.5064,5,False,165
233,440826.7558,9147208.8281,5,False,165
234,430641.2721,9139501.1915,8,False,254
235,428496.4228,9139247.7792,8,False,254
236,444141.9683,9143372.7183,5,False,165
237,407888.2118,9132995.4492,2,False,169
238,431302.5716,9145136.3374,8,False,254
239,430491.1659,9143330.6174,8,False,254
240,429361.2691,9145680.3161,8,False,254
241,404165.1583,9134902.3448,2,False,169
242,430727.9588,9124007.8538,1,False,25
243,449656.6703,9121109.5731,1,False,25
244,451662.6201,9120277.4413,1,False,25
245,431461.0485,9139076.7075,8,False,254
246,435455.071,9139791.5478,8,False,254
247,431157.2628,9137494.5618,8,False,254
248,435287.3474,9136146.2785,8,False,254
249,423753.3616,9123965.7473,4,False,112
250,435620.0198,9143130.9028,8,False,254
251,430067.3259,9137451.3507,8,False,254
252,430441.8314,9137318.5494,8,False,254
253,430121.9116,9137296.9945,8,True,254
254,429011.7773,9136342.4558,8,False,254
255,425219.4602,9130494.2389,8,False,254
256,429841.869,9136901.3657,8,False,254
257,431025.6508,9137555.7182,8,False,254
258,427191.2973,9135543.7669,8,False,254
259,425004.5467,9124602.8408,4,False,112
260,428353.3909,9127263.8529,1,False,25
261,427451.895,9125700.1714,1,False,25
262,424244.6557,9125714.9711,4,False,112
263,417477.265,9115617.3264,4,False,112
264,414378.2882,9116735.6284,4,False,112
265,414814.997,9116593.8321,4,False,112
266,428174.6562,9140431.5886,8,False,254
267,427345.5042,9137134.1686,8,False,254
268,432070.54,9133983.9543,8,False,254
269,428758.2539,9137844.7406,8,False,254
270,430135.0197,9137726.2238,8,False,254
271,428290.737,9137616.0113,8,False,254
272,429697.3083,9132907.7419,8,False,254
273,436903.6787,9139578.0862,8,False,254
274,430517.5427,9136813.7391,8,False,254
275,429119.0739,9136852.3302,8,False,254
