osm_id,x,y,,,
1711057152,409279.332100,9159054.442000,,,
12989136501,412632.190400,9159066.102200,,,
4977885324,440373.570000,9129900.509700,,,
4305463639,442601.164800,9132562.348000,,,
3451917715,442676.753500,9132745.123300,,,
6320439722,432454.106000,9135962.834000,,,
6320428440,432360.832100,9135924.136000,,,
4375561596,439404.310500,9143440.480000,,,
4129601389,433235.244800,9146088.157600,,,
9989782453,442991.337300,9146103.103200,,,
4933768622,411784.118100,9159518.923500,,,
4691760992,431349.424200,9138270.177100,,,
9409502531,409614.091900,9159216.374200,,,
4766762822,410059.288800,9159120.805900,,,
5317661098,409287.929000,9159041.036200,,,
4278281578,425033.426200,9123808.123800,,,
4782422421,436901.051500,9121393.366500,,,
8906533211,441817.128500,9121156.395000,,,
4957149138,443743.455900,9121945.357700,,,
10038340324,451643.182500,9120277.210500,,,
8070504232,437300.061700,9123332.483800,,,
4013846291,437330.017500,9123833.788700,,,
8395855553,437274.821600,9123822.469500,,,
8462958293,437787.272700,9125075.829200,,,
8070504267,437770.857400,9124387.360500,,,
5686673520,438177.353400,9124317.652000,,,
8462958285,437781.456600,9125178.561500,,,
4953861122,437970.625400,9126576.195600,,,
6403333085,459049.098100,9116074.319800,,,
3521358939,424901.465400,9116411.375400,,,
4782419531,437548.276200,9120515.816700,,,
9914393337,423276.576600,9131738.818900,,,
9574658377,457594.190200,9136345.210600,,,
3669681902,455472.659600,9135489.643600,,,
9515922834,425211.606400,9130510.611000,,,
10281931441,431084.204300,9139896.488700,,,
13448610447,396657.876700,9127683.710900,,,
13448610576,396768.878300,9127994.318300,,,
8241934034,403876.840000,9137060.186800,,,
4303817847,446920.132300,9138936.351800,,,
3661147704,436797.267600,9159517.708400,,,
5716819421,436241.591300,9160184.479600,,,
3661255532,437216.223200,9160539.434900,,,
4017399580,436760.917200,9161063.274700,,,
5518179574,437285.182400,9161218.155500,,,
8915359629,436508.491200,9160663.195500,,,
4934869580,438600.064900,9130959.300100,,,
4359484697,441490.656100,9150504.699900,,,
8901400200,403603.186000,9156284.153100,,,
5147370321,408947.777500,9156015.746000,,,
8493661769,427178.332900,9156561.948000,,,
10075081985,440749.780200,9103940.862400,,,
4228245911,437729.045500,9104910.785000,,,
6693682201,437763.747000,9105001.379800,,,
10687593285,446528.710600,9102253.467100,,,
6512327885,439825.871700,9162421.585000,,,
9811828873,438383.699200,9134615.221100,,,
9465285630,421992.666700,9114432.974400,,,
6021058586,425176.757500,9114026.245900,,,
4844444921,426682.032700,9113310.106900,,,
4221035289,428177.734500,9111367.929400,,,
11057432605,429939.744400,9135732.701800,,,
2000854488,429390.151000,9135775.470200,,,
4146167277,429834.625700,9135866.292500,,,
4194971492,428875.908700,9135029.913800,,,
10285928287,427442.883300,9135390.723000,,,
4969488321,428052.576100,9135654.025700,,,
11057430508,427586.776300,9136061.978800,,,
10030873544,467858.176400,9119185.660800,,,
4847242123,430512.958400,9134995.324600,,,
1674791296,431964.402700,9134968.244500,,,
8070504243,437884.385000,9123594.393000,,,
2712142975,431415.921900,9140654.635200,,,
6781069394,433101.819300,9136619.539100,,,
3630844910,424260.772200,9133296.545400,,,
3359764340,404014.872200,9136801.643000,,,
6512333485,439045.200200,9159629.360600,,,
6512331985,439233.405100,9159831.539400,,,
9895186814,437771.123600,9159714.813000,,,
4017399571,437851.756000,9160981.931500,,,
4859203321,439077.918600,9161811.241400,,,
4923981289,439098.266900,9161771.456600,,,
4013846299,434198.684000,9123859.711200,,,
5045546524,435197.541900,9123719.910000,,,
3395437720,433557.809800,9124386.398500,,,
6276248684,429767.115700,9131714.367200,,,
6403565670,460218.734700,9114600.705400,,,
3395385980,446162.616800,9139541.033900,,,
11057432905,429627.251100,9135659.781000,,,
6320441978,432311.170400,9135949.038500,,,
10561649222,434607.370500,9137725.311600,,,
9750683378,431138.166400,9139702.905700,,,
3451492130,443585.883200,9143047.328300,,,
1848508880,428756.002800,9137845.920100,,,
6611458951,430297.678000,9137638.431400,,,
591450980,430744.402200,9135939.885200,,,
3229569961,429703.555900,9135807.432500,,,
13591953901,422594.838300,9131079.512500,,,
12003231019,440245.922400,9155676.087400,,,
11908280169,436479.282200,9161185.529300,,,
5085151623,439470.814000,9159464.324200,,,
4027234735,438774.946400,9161790.844700,,,
4027234733,438680.137300,9161760.818400,,,
4017400175,436723.614800,9160992.613900,,,
11549942982,436874.418700,9154764.746500,,,
4769328924,438054.487400,9159636.521500,,,
4269720793,450882.973000,9112909.883900,,,
5248591817,454244.327300,9100203.254000,,,
4756181021,430197.847200,9135382.996500,,,
6954551494,427948.670500,9112673.641800,,,
5477193843,426062.286200,9115516.778300,,,
9465017196,426010.734700,9115386.532900,,,
7106574985,427569.810900,9136399.618300,,,
4771123823,428499.875900,9139171.068700,,,
3630346584,429671.416000,9136412.365300,,,
2000854823,429188.106300,9136457.612300,,,
4290032798,429683.596400,9136793.309400,,,
1987962927,430510.010700,9136818.067500,,,
4969488322,429359.003000,9136871.313200,,,
11341202005,429901.708200,9137655.433500,,,
4012134546,429535.917100,9138352.409900,,,
4212075290,429008.787800,9138298.785000,,,
1848508803,428292.517100,9137623.208700,,,
9996055555,437255.535100,9141115.903400,,,
10281729744,431463.188300,9140853.021500,,,
2076069019,435628.913600,9143137.795500,,,
3874348188,431126.591200,9141742.719900,,,
3687817125,415676.019800,9153345.642000,,,
10302177858,430895.397900,9150168.285600,,,
10965465707,438343.782700,9120109.442300,,,
3395885776,436603.424300,9122126.863900,,,
9605207535,402119.921900,9140739.689800,,,
3623170461,401453.062900,9140225.337500,,,
2965717627,444440.960300,9142103.153200,,,
4576614491,454178.043400,9100083.587300,,,
4085864188,457500.788000,9098884.429500,,,
4085864187,457396.971700,9098920.017400,,,
2965701493,422440.594600,9156073.712900,,,
9793877615,410377.756300,9163296.017800,,,
10037468490,407027.804600,9130484.671400,,,
2024619177,409310.864700,9159017.010700,,,
7097841489,427603.504300,9135579.607700,,,
8242289488,403463.948200,9135218.293500,,,
4832034854,442025.221500,9142031.898900,,,
2075197723,439018.540200,9141932.965100,,,
5201463088,434898.974000,9143218.885700,,,
5201793691,434997.449000,9142835.359500,,,
5203790261,435625.972000,9143135.823600,,,
5203790263,434998.353200,9142835.393900,,,
8890288200,426009.243400,9115537.311100,,,
11496031049,428734.542100,9129820.930700,,,
11057432705,430138.271600,9135701.831800,,,
12022673171,429959.749600,9135671.579700,,,
